date,price
2017-03-11,20200.0
2017-03-13,20150.0
2017-03-14,20150.0
2017-03-15,20100.0
2017-03-16,20350.0
2017-03-17,20350.0
2017-03-18,20300.0
2017-03-20,20300.0
2017-03-21,20250.0
2017-03-22,20500.0
2017-03-23,20450.0
2017-03-24,20450.0
2017-03-25,20400.0
2017-03-27,20500.0
2017-03-28,20450.0
2017-03-29,20450.0
2017-03-30,20450.0
2017-03-31,20300.0
2017-04-01,20350.0
2017-04-03,20300.0
2017-04-04,20450.0
2017-04-05,20500.0
2017-04-07,20800.0
2017-04-08,20600.0
2017-04-10,20600.0
2017-04-11,20600.0
2017-04-12,20850.0
2017-04-17,20950.0
2017-04-18,20900.0
2017-04-19,20900.0
2017-04-20,20850.0
2017-04-21,20850.0
2017-04-22,20900.0
2017-04-24,20800.0
2017-04-25,20750.0
2017-04-26,20650.0
2017-04-27,20700.0
2017-04-28,20750.0
2017-04-29,20800.0
2017-05-01,20750.0
2017-05-02,20600.0
2017-05-03,20550.0
2017-05-04,20400.0
2017-05-05,20200.0
2017-05-06,20250.0
2017-05-08,20250.0
2017-05-09,20200.0
2017-05-10,20150.0
2017-05-11,20150.0
2017-05-12,20200.0
2017-05-13,20200.0
2017-05-15,20200.0
2017-05-16,20200.0
2017-05-17,20300.0
2017-05-18,20550.0
2017-05-19,20450.0
2017-05-20,20450.0
2017-05-22,20400.0
2017-05-23,20550.0
2017-05-24,20450.0
2017-05-25,20450.0
2017-05-26,20350.0
2017-05-27,20450.0
2017-05-29,20450.0
2017-05-30,20500.0
2017-05-31,20400.0
2017-06-01,20500.0
2017-06-02,20450.0
2017-06-03,20600.0
2017-06-05,20600.0
2017-06-06,20650.0
2017-06-07,20800.0
2017-06-08,20750.0
2017-06-09,20600.0
2017-06-10,20500.0
2017-06-12,20500.0
2017-06-13,20450.0
2017-06-14,20400.0
2017-06-16,20250.0
2017-06-17,20250.0
2017-06-19,20150.0
2017-06-20,20100.0
2017-06-21,20100.0
2017-06-22,20200.0
2017-06-23,20200.0
2017-06-24,20250.0
2017-06-26,20200.0
2017-06-27,20050.0
2017-06-28,20150.0
2017-06-29,20150.0
2017-06-30,20100.0
2017-07-01,20050.0
2017-07-03,20000.0
2017-07-04,19750.0
2017-07-05,19800.0
2017-07-06,19800.0
2017-07-07,19750.0
2017-07-08,19700.0
2017-07-10,19650.0
2017-07-11,19650.0
2017-07-12,19650.0
2017-07-13,19700.0
2017-07-14,19600.0
2017-07-15,19700.0
2017-07-17,19700.0
2017-07-18,19700.0
2017-07-19,19800.0
2017-07-20,19750.0
2017-07-21,19800.0
2017-07-22,19850.0
2017-07-24,19850.0
2017-07-25,19900.0
2017-07-26,19850.0
2017-08-01,20000.0
2017-08-02,20000.0
2017-08-03,19950.0
2017-08-04,20000.0
2017-08-05,19900.0
2017-08-07,19900.0
2017-08-08,19900.0
2017-08-09,19950.0
